"Season","GameDate","TeamName","OpponentName","Score","GameId"
1968,1969-02-08,"BSV Solingen 1898","THW Kiel","10:15","b403c554-3960-11ef-bdae-2906cc9fb6bc"
1968,1968-12-21,"Eintracht Hildesheim","Hamburger SV","8:17","ac62b23c-3960-11ef-a2ee-ffa068a44a47"
1968,1968-10-19,"TV 05/07 Hüttenberg","S3L Handball","15:24","b50fca01-3960-11ef-b19b-2906cc9fb6bc"
1968,1968-10-06,"TuS 05 Wellinghofen","GWD Minden","13:12","ab25d4c9-3960-11ef-86aa-ffa068a44a47"
1968,1968-12-04,"Eintracht Hildesheim","GWD Minden","13:31","ab7e72f8-3960-11ef-b3c9-ffa068a44a47"
1968,1968-11-10,"THW Kiel","TuS 05 Wellinghofen","15:11","aceea41f-3960-11ef-839b-ffa068a44a47"
1968,1968-11-09,"FRISCH AUF! Göppingen","TSV Birkenau","27:16","b5d1c69e-3960-11ef-a16d-2906cc9fb6bc"
1968,1968-12-01,"TuS 05 Wellinghofen","Hamburger SV","11:11","ac17b98f-3960-11ef-b01d-ffa068a44a47"
1968,1969-02-01,"SpVgg 1887 Möhringen","S3L Handball","16:22","b5771f12-3960-11ef-b9fe-2906cc9fb6bc"
1968,1968-10-13,"Eintracht Hildesheim","THW Kiel","13:18","b34bdc13-3960-11ef-a125-2906cc9fb6bc"
1968,1969-02-01,"TSV Birkenau","FRISCH AUF! Göppingen","19:11","b621b176-3960-11ef-9c67-2906cc9fb6bc"
1968,1968-12-11,"Hamburger SV","Eintracht Hildesheim","23:10","ac3da8cc-3960-11ef-bd5f-ffa068a44a47"
1968,1968-11-01,"TV Hochdorf","S3L Handball","17:14","b43dc04d-3960-11ef-af34-2906cc9fb6bc"
1968,1968-12-15,"Hamburger SV","BSV Solingen 1898","18:6","ac4fc8dc-3960-11ef-b855-ffa068a44a47"
1968,1968-10-19,"FRISCH AUF! Göppingen","SpVgg 1887 Möhringen","25:21","b754509a-3960-11ef-abd8-2906cc9fb6bc"
1968,1969-02-08,"S3L Handball","TS Esslingen 1890","29:19","b5869619-3960-11ef-bf46-2906cc9fb6bc"
1968,1968-10-06,"TS Esslingen 1890","TV Hochdorf","20:16","b41202e5-3960-11ef-9682-2906cc9fb6bc"
1968,1969-02-12,"Eintracht Hildesheim","TuS 05 Wellinghofen","11:17","b33d25ff-3960-11ef-ba9d-2906cc9fb6bc"
1968,1969-03-15,"TV 05/07 Hüttenberg","TSV Birkenau","11:11","b653bef0-3960-11ef-bd08-2906cc9fb6bc"
1968,1968-11-13,"GWD Minden","THW Kiel","16:7","ab5bad62-3960-11ef-9281-ffa068a44a47"
1968,1969-01-10,"TuS 05 Wellinghofen","BSV Solingen 1898","11:9","ad007646-3960-11ef-afd7-ffa068a44a47"
1968,1968-12-29,"Hamburger SV","GWD Minden","13:14","aba30c5c-3960-11ef-94bd-ffa068a44a47"
1968,1968-12-07,"TV 05/07 Hüttenberg","Füchse Berlin","19:12","b693fea6-3960-11ef-8f8b-2906cc9fb6bc"
1968,1969-02-01,"VfL Gummersbach","Hamburger SV","12:10","aad909cb-3960-11ef-815c-ffa068a44a47"
1968,1968-10-12,"RSV Mülheim/Ruhr","VfL Gummersbach","13:14","aa28c96d-3960-11ef-a1c0-ffa068a44a47"
1968,1968-10-05,"VfL Gummersbach","BSV Solingen 1898","18:6","aa1716a6-3960-11ef-a7f8-ffa068a44a47"
1968,1968-10-27,"THW Kiel","Eintracht Hildesheim","26:10","b35c8077-3960-11ef-8ef2-2906cc9fb6bc"
1968,1968-11-30,"TSV Birkenau","TV 05/07 Hüttenberg","16:18","b5e0fdd8-3960-11ef-b0e8-2906cc9fb6bc"
1968,1968-10-31,"VfL Gummersbach","TuS 05 Wellinghofen","25:11","aa4b1f4b-3960-11ef-8ea8-ffa068a44a47"
1968,1968-10-12,"TS Esslingen 1890","TSV Birkenau","18:10","b5b22f66-3960-11ef-b9eb-2906cc9fb6bc"
1968,1968-11-30,"TS Esslingen 1890","S3L Handball","20:16","b52d8f76-3960-11ef-9e0c-2906cc9fb6bc"
1968,1968-10-05,"FRISCH AUF! Göppingen","TV 05/07 Hüttenberg","22:12","b7904907-3960-11ef-a92f-2906cc9fb6bc"
1968,1968-12-21,"SpVgg 1887 Möhringen","TSV Birkenau","19:10","b5f17ae2-3960-11ef-b296-2906cc9fb6bc"
1968,1968-10-09,"GWD Minden","Hamburger SV","11:8","ab3794ab-3960-11ef-b697-ffa068a44a47"
1968,1968-12-07,"BSV Solingen 1898","RSV Mülheim/Ruhr","10:10","b3bcbcd9-3960-11ef-b210-2906cc9fb6bc"
1968,1969-02-05,"THW Kiel","Hamburger SV","15:14","ac9f7b3f-3960-11ef-86c0-ffa068a44a47"
1968,1968-12-21,"TV Hochdorf","TS Esslingen 1890","18:10","b47b7535-3960-11ef-813f-2906cc9fb6bc"
1968,1968-10-12,"BSV Solingen 1898","TuS 05 Wellinghofen","8:10","acc4567d-3960-11ef-8d4e-ffa068a44a47"
1968,1968-10-20,"TuS 05 Wellinghofen","RSV Mülheim/Ruhr","16:12","acdc60cf-3960-11ef-85a8-ffa068a44a47"
1968,1969-02-01,"Füchse Berlin","TV Hochdorf","15:11","b4c31f2e-3960-11ef-b435-2906cc9fb6bc"
1968,1968-10-06,"RSV Mülheim/Ruhr","THW Kiel","12:15","b3ad2dfd-3960-11ef-a725-2906cc9fb6bc"
1968,1968-12-07,"S3L Handball","TSV Birkenau","15:13","b53d18f1-3960-11ef-9d78-2906cc9fb6bc"
1968,1968-12-07,"GWD Minden","VfL Gummersbach","13:17","aa7f4e02-3960-11ef-9d5d-ffa068a44a47"
